iter	Logloss
0	0.6885684469
1	0.684322523
2	0.6803976971
3	0.6765189793
4	0.672573366
5	0.6683927895
6	0.6643200197
7	0.6604959792
8	0.6570392553
9	0.6534330949
10	0.6511417334
11	0.6473068016
12	0.6439118869
13	0.6405854156
14	0.6368893057
15	0.6333471105
16	0.6303466576
17	0.6273981177
18	0.6241913948
19	0.6213507721
20	0.6179702317
21	0.6148934848
22	0.6121801293
23	0.6091621509
24	0.6057426342
25	0.6029769787
26	0.5999226777
27	0.597238126
28	0.594710198
29	0.5921246073
30	0.5893537549
31	0.5870599056
32	0.5845824532
33	0.5820342354
34	0.5798330445
35	0.5777303723
36	0.5753994817
37	0.5733041072
38	0.5709779159
39	0.5682106571
40	0.5658859032
41	0.5638801464
42	0.5615309563
43	0.5593797988
44	0.5575704713
45	0.5557903345
46	0.55386441
47	0.5519084101
48	0.5500144406
49	0.5481674637
50	0.5464655558
51	0.5444427711
52	0.5426494211
53	0.5407102281
54	0.5387970745
55	0.5369051505
56	0.5349054751
57	0.533423714
58	0.5318447058
59	0.5302043307
60	0.5281166408
61	0.5263784104
62	0.5250808052
63	0.5238356659
64	0.5223383696
65	0.5208823715
66	0.5193647302
67	0.5179188493
68	0.516743812
69	0.515306998
70	0.5137876981
71	0.512512207
72	0.5110535
73	0.5095548215
74	0.5082114399
75	0.5072152511
76	0.5062295665
77	0.5048033673
78	0.5036741616
79	0.5022281149
80	0.5009111045
81	0.499720145
82	0.4984705828
83	0.4976022693
84	0.4962174236
85	0.4951001043
86	0.4936630138
87	0.4928659633
88	0.4919388813
89	0.4906487396
90	0.4896245763
91	0.4884558415
92	0.487345267
93	0.4866129557
94	0.4858077782
95	0.4846754212
96	0.4835154215
97	0.4826557325
98	0.4814745032
99	0.4806322844
100	0.4795823581
101	0.4788332953
102	0.4777732517
103	0.4768315191
104	0.4758798903
105	0.4752291251
106	0.4743851371
107	0.4737259685
108	0.4731249602
109	0.472154258
110	0.4714728646
111	0.4707362963
112	0.4699812626
113	0.4693050661
114	0.4681654115
115	0.4677900231
116	0.4671466662
117	0.4663403276
118	0.4656330053
119	0.4646794416
120	0.4640686477
121	0.4634045311
122	0.4626153587
123	0.4621912085
124	0.4615784521
125	0.4611217941
126	0.4603795038
127	0.4596767702
128	0.458766108
129	0.4577388211
130	0.4571090643
131	0.4564745253
132	0.4558928393
133	0.4552997368
134	0.4548015318
135	0.454176032
136	0.453424509
137	0.4527976824
138	0.4516014707
139	0.4511115033
140	0.4502733756
141	0.4497985563
142	0.4490595555
143	0.4487835981
144	0.4481126813
145	0.4474134583
146	0.4466221298
147	0.4457282191
148	0.4451707757
149	0.4446281488
150	0.444323056
151	0.4435957757
152	0.4429266556
153	0.4422998014
154	0.4415608558
155	0.4409820446
156	0.4405864771
157	0.4401138969
158	0.439665283
159	0.4388147437
160	0.4384796032
161	0.4383628403
162	0.4376329615
163	0.437141999
164	0.4367781376
165	0.4363717065
166	0.435619299
167	0.4351082401
168	0.4344583318
169	0.4342440453
170	0.4338895825
171	0.4333306465
172	0.4325621232
173	0.4319339144
174	0.431538181
175	0.4310272604
176	0.430357781
177	0.4300540703
178	0.4296947148
179	0.4295397772
180	0.4286712425
181	0.4282087796
182	0.4276362433
183	0.4269446774
184	0.4264492367
185	0.426043082
186	0.4256170245
187	0.4255425274
188	0.4252142975
189	0.4242772641
190	0.4238224859
191	0.4233828558
192	0.4230958137
193	0.4227363476
194	0.4224369215
195	0.4219632356
196	0.4214612436
197	0.4212352089
198	0.420753866
199	0.4204498512
200	0.4199471405
201	0.4196488201
202	0.4190052696
203	0.4186299918
204	0.4180905439
205	0.4179042871
206	0.4172725401
207	0.4167037632
208	0.4161686552
209	0.4154875382
210	0.4150397812
211	0.4145848647
212	0.414091359
213	0.4135741911
214	0.4133120551
215	0.4130024012
216	0.4127501336
217	0.4123620019
218	0.4118640734
219	0.4114119488
220	0.4110778311
221	0.4108287977
222	0.4103684356
223	0.4099432075
224	0.4096500563
225	0.4093443276
226	0.4090307761
227	0.408676645
228	0.4081835816
229	0.407796224
230	0.4073739536
231	0.4070664005
232	0.4067233265
233	0.4063789534
234	0.4060343314
235	0.4056897371
236	0.4053366841
237	0.4049202463
238	0.4044483848
239	0.4040514075
240	0.4037961269
241	0.4030301744
242	0.4026966371
243	0.4023566592
244	0.4018965182
245	0.4018277431
246	0.4014885944
247	0.4010832966
248	0.4006954691
249	0.4003303638
250	0.3999107748
251	0.3995268449
252	0.399307251
253	0.3988999077
254	0.3985261502
255	0.398013571
256	0.3975730564
257	0.3972590626
258	0.3971886842
259	0.3967628479
260	0.3963329481
261	0.3958952531
262	0.3955216339
263	0.3951259005
264	0.3948775305
265	0.3946395542
266	0.3942981112
267	0.3937620909
268	0.3934161145
269	0.3930828537
270	0.3925979448
271	0.3923053189
272	0.3921283777
273	0.3917689945
274	0.3915595732
275	0.3911549388
276	0.3910957558
277	0.3906903751
278	0.3902209738
279	0.3898707957
280	0.3894004269
281	0.3890560537
282	0.3887453494
283	0.3884479136
284	0.3879533021
285	0.3876949531
286	0.3873977938
287	0.3871352154
288	0.3868360381
289	0.3864961431
290	0.3863479227
291	0.3860037983
292	0.3858019234
293	0.3855338166
294	0.3852768774
295	0.3851851311
296	0.3849498915
297	0.3847181348
298	0.3845473027
299	0.3841332422
300	0.3837870722
301	0.3835016886
302	0.3832715352
303	0.3830337524
304	0.3828112008
305	0.3826011989
306	0.382330079
307	0.381967821
308	0.3815883139
309	0.381232082
310	0.380873224
311	0.3806987707
312	0.3805212491
313	0.3804321013
314	0.380272271
315	0.3800367825
316	0.3798231042
317	0.3795468427
318	0.3793432816
319	0.3790219348
320	0.3787973376
321	0.3787038499
322	0.3784598198
323	0.3783406244
324	0.3781695159
325	0.3777620067
326	0.3774995113
327	0.3773457347
328	0.3771770864
329	0.3769530144
330	0.376794511
331	0.3765698861
332	0.3763062297
333	0.3760890131
334	0.3757866569
335	0.3753443179
336	0.3748901478
337	0.3744469795
338	0.3741070015
339	0.3738864954
340	0.3736027151
341	0.3733560037
342	0.373094227
343	0.372845857
